counter,treatment,plant.no,farm,branch.code,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds
MM,E,214,,HPLA,2,3,0.6445,14,9,51,7
MM,E,214,,HPLA,1,4,0.7301,10,48,12,5
MM,E,214,,HPLA,1,5,1.2339,11,26,55,14
MM,E,260,,CLA,3,1,1.9259,9,45,23,7
MM,E,260,,CLA,3,2,1.6766,7,28,42,6
MM,E,260,,CLA,3,3,1.7106,9,33,39,11
MM,E,260,,HPLA,2,1,1.9114,11,23,57,6
MM,E,260,,HPLA,2,2,1.8931,11,35,40,9
MM,E,260,,HPLA,2,3,1.4894,11,36,27,8
MM,E,260,,HPLA,1,4,1.4861,16,20,43,4
MM,E,260,,HPLA,2,5,1.5071,10,25,58,7
EW,E,215,,CLA,1,1,0.645,17,23,10,15
EW,E,215,,HPLA,4,1,0.773,12,33,17,13
EW,E,215,,HPLA,4,2,0.425,7,4,16,25
EW,E,215,,HPLA,4,4,0.576,13,0,6,3
EW,E,215,,CLD,2,1,0.247,15,0,0,0
EW,E,215,,CLD,2,2,0.229,11,0,1,1
EW,E,215,,HPA,1,1,0.215,17,0,0,0
EW,E,215,,CLC,1,1,0.307,18,0,0,0
EW,E,215,,CLD,4,1,1.28,13,38,53,11
EW,E,215,,CLD,4,2,1.3,12,12,73,8
EW,E,215,,CLD,4,3,1.22,12,16,66,16
EW,E,215,,CLD,4,4,1.18,11,19,63,5
EW,E,215,,UNTAGGED,1,1,1.54,10,23,51,5
EW,E,215,,UNTAGGED,2,1,1.07,14,18,72,6
EW,E,215,,UNTAGGED,2,2,1.18,14,27,60,4
EW,E,215,,HPLA,2,1,0.908,14,16,58,8
EW,E,215,,HPLA,2,2,1.329,14,29,47,2
EW,E,215,,CLC,1,1,1.149,14,40,42,5
EW,E,215,,CLC,2,1,0.442,10,0,0,0
EW,E,215,,CLC,2,2,1.129,12,13,64,12
EW,A,64,,CLA,1,1,1.6931,10,17,41,19
EW,A,64,,CLA,2,1,2.1238,11,21,49,5
EW,A,64,,CLA,2,2,2.1499,16,18,52,7
EW,A,64,,CLA,1,1,1.5969,10,13,56,7
EW,A,64,,CLA,1,1,0.5237,10,0,2,9
EW,A,64,,CLB,1,1,1.251,12,15,49,13
EW,A,64,,CLB,1,1,1.369,12,34,40,9
EW,A,64,,CLB,1,1,2.221,10,29,45,8
EW,A,64,,CLB,1,1,1.362,11,9,49,1
EW,A,64,,CLB,3,1,1.189,11,7,44,23
EW,A,73,,CLA,1,1,1.385,14,21,63,4
EW,A,73,,CLA,1,1,1.231,13,10,48,38
EW,A,73,,HPB,1,1,1.611,11,15,57,13
EW,A,73,,HPLB,1,1,1.821,11,52,19,1
EW,A,73,,HPLB,1,1,1.334,13,28,68,12
EW,A,73,,HPLB,2,1,1.321,12,21,68,17
EW,A,73,,HPLB,2,2,1.323,11,22,70,7
EW,A,60,,HPLA,4,1,1.7723,13,66,10,8
EW,A,60,,HPLA,4,2,1.7793,14,32,45,6
EW,A,60,,HPLA,4,3,1.5308,12,29,49,8
EW,A,60,,HPLA,4,4,1.9304,13,51,32,6
EW,A,60,,HPLA,2,1,1.773,13,41,27,3
MM,A,146,,CLA,1,1,1.5176,11,19,62,3
MM,A,146,,CLA,2,2,2.2386,10,39,52,1
MM,A,146,,CLA,2,3,2.3672,11,32,63,4
MM,A,146,,CLA,1,4,2.0465,11,16,72,8
MM,A,146,,CLA,1,5,0.8245,13,5,70,5
MM,A,146,,HPLB,1,1,1.6249,10,24,60,7
MM,A,146,,HPLB,3,2,1.7042,10,34,50,5
MM,A,146,,HPLB,3,3,1.9175,9,47,45,5
MM,A,146,,HPLB,3,4,1.6488,9.5,39,44,3
MM,A,146,,HPLA,5,1,2.0071,10,44,46,5
MM,A,146,,HPLA,5,2,1.8856,10,34,48,4
MM,A,146,,HPLA,3,3,1.6917,10,37,52,4
MM,A,146,,HPLA,4,4,1.9168,13,31,59,6
MM,A,146,,HPLA,4,5,1.7047,12,26,66,11
